"ALKBH5" "FTO" "IGF2BP1" "IGF2BP2" "IGF2BP3" "METTL14" "METTL3" "KIAA1429" "WTAP" "YTHDC1" "YTHDC2" "YTHDF1" "YTHDF2" "YTHDF3" "RBM15" "CancerType"
"Sample_1" 0.62323 -0.045713 0.07563 0.1541 0.303617 0.20412 0.05121 0.2358 -0.409386 0.29205 -0.23286 -0.54234 0.1037 0.25988 0.1241565 "BRCA"
"Sample_2" 0.091896 0.212063 0.29544 0.07187 0.038347 0.15762 0.318752 0.01806 0.372487 0.16124 -0.23531 1.18682 -0.054343 0.044027 -0.43509 "BRCA"
"Sample_3" -0.204784 0.065798 0.35486 -0.01925 0.031388 0.00383 -0.148249 -0.60548 -0.363446 -0.25172 0.60704 -0.82829 -0.328212 -0.203654 -0.820205 "BRCA"
"Sample_4" -0.055746 -0.030599 0.44114 0.19844 -0.227851 0.18577 0.124507 -0.02925 0.059691 0.09456 0.45899 -0.238 0.182692 0.069851 0.05458 "BRCA"
"Sample_5" 0.46036 -0.01425 0.02154 -0.01948 -0.000819 0.08159 0.092568 0.40325 0.22149 0.25785 0.9701 -0.03009 0.690399 0.182844 0.5676585 "BRCA"
"Sample_6" 0.370053 0.002215 0.37152 0.03077 0.007993 0.20494 0.343881 0.32532 -0.298651 0.53133 0.8183 0.33879 0.609722 0.679943 0.4487645 "BRCA"
"Sample_7" 0.115673 0.750228 -0.31104 -0.11203 0.012996 0.16243 -0.228985 0.48446 0.103013 0.44062 0.10782 0.1135 0.459897 0.016051 0.65503 "BRCA"
"Sample_8" -0.680884 -0.165128 0.59069 -0.16482 -0.034387 -0.10282 -0.394525 -0.48062 -0.791219 -0.46557 -1.02294 -0.872 -0.907715 -0.987195 -1.081995 "BRCA"
"Sample_9" 0.912304 -0.381153 -0.04702 -0.03298 0.133095 0.34127 0.528021 0.50623 0.034802 0.77485 0.04219 0.06514 0.386265 0.513743 0.894325 "BRCA"
"Sample_10" -0.290854 -0.067312 0.21543 -0.07175 -0.007527 0.07092 0.127938 0.34076 0.32055 0.1748 -0.01252 -0.01337 0.285732 0.012693 0.1661435 "BRCA"
"Sample_11" -0.037769 0.366831 0.16614 -0.09728 0.108236 0.20242 0.305737 0.73946 0.293953 0.28987 0.92675 -0.00535 0.489933 0.400731 0.516455 "BRCA"
"Sample_12" 0.161747 -0.072659 -0.12411 -0.13602 0.071721 0.00067 -0.396916 -0.49598 -0.558685 0.11957 -0.27084 0.01433 -0.126466 0.203029 -0.61433 "BRCA"
"Sample_13" -0.345023 -0.055914 -0.21885 -0.09575 -0.035851 -0.05184 -0.072335 -0.35623 -0.406392 -0.50784 -0.38144 -1.15704 -0.589729 0.032157 -0.716915 "BRCA"
"Sample_14" 0.086011 0.609744 0.03728 -0.12865 0.122107 0.18255 0.031158 0.58818 0.337528 0.58074 1.25659 0.0568 1.209761 0.6311 1.165745 "BRCA"
"Sample_15" 0.508784 0.383605 0.17715 0.01994 0.128954 0.18545 0.228706 0.35991 0.640235 0.43101 0.42428 0.24548 0.425121 -0.025633 0.20372 "BRCA"
"Sample_16" -0.415004 -0.002253 -0.18888 -0.19029 -0.002755 -0.03023 -0.191459 0.23496 -0.064887 0.08524 -0.56606 -0.77782 -0.14181 -0.24588 -0.1440525 "BRCA"
"Sample_17" -0.191424 -0.05991 0.01425 -0.01261 0.040913 0.10468 0.163415 0.13044 0.023587 0.05939 1.00545 -0.43044 -0.063525 0.356342 -0.27687 "BRCA"
"Sample_18" 0.291264 0.431176 0.19905 0.07705 0.262562 0.25365 0.676586 0.56654 0.67282 0.59621 0.41677 0.27091 0.433747 0.376932 0.1384795 "BRCA"
"Sample_19" 0.731883 -0.126156 0.07324 0.15457 0.209619 0.30899 0.524483 0.63556 0.371971 0.63212 0.47482 0.45665 0.549757 0.834748 0.62279 "BRCA"
"Sample_20" -0.231818 -0.086731 0.0633 -0.12561 0.065893 0.06374 0.046359 0.01298 -0.064755 -0.21218 0.11715 -0.82994 0.030351 0.040956 -0.30203 "BRCA"
"Sample_21" -0.021162 0.146473 0.10797 -0.12166 0.187113 0.17417 0.10672 0.02241 -0.872992 0.35137 -0.30501 -0.17235 0.019386 0.429014 -0.2325625 "BRCA"
"Sample_22" -0.123747 -0.169654 -0.08713 -0.15485 0.086295 0.01206 -0.244264 0.15258 0.281189 0.24822 0.80809 -0.33529 -0.088114 0.175812 0.088815 "BRCA"
